"level","level_name","field_of_study","academic_field"
"bachelor","bachelor","bachelor business administration ,human resources development","human resources"
"bachelor","bachelor","bachelor business administration ,human resources management and services","human resources"
"bachelor","bachelor","bachelor business administration ,marketing","marketing"
"bachelor","bachelor","bachelor business administration honors","business"
"bachelor","bachelor","bachelor business management","business management"
"bachelor","bachelor","bachelor business management bbm,finance","business management"
"bachelor","bachelor","bachelor business management bbm,marketing","business management"
"bachelor","bachelor","bachelor business management,business administration and management,general","business management"
"bachelor","bachelor","bachelor business management bbm,finance","finance"
"bachelor","bachelor","bachelor business management bbm,finance major","business"
"bachelor","bachelor","bachelor business management bbm,marketing and finance","business management"
"bachelor","bachelor","bachelor business management hons,marketing and corporate communications","business"
"bachelor","bachelor","bachelor business management hons,human resource,management and marketing","business management"
"bachelor","bachelor","bachelor business management,double majors in finance and corporate communications","business management"
"bachelor","bachelor","bachelor business management,investment finance and strategic management,cum laude","business management"
"bachelor","bachelor","bachelor business management,marketing","business management"
"bachelor","bachelor","bachelor business management,marketing and corporate communications","business management"
"bachelor","bachelor","bachelor business management,marketing and operations management","business management"
"bachelor","bachelor","bachelor business management,marketing corporate communication","business management"
"bachelor","bachelor","bachelor business management,organisational behaviour and human resources","human resources"
